time,SUSCEPTIBLE,INFECTED,EXPOSED,RECOVERED,DEAD
6636,16069,1,0,38,1
6637,16069,1,0,38,1
6638,16069,1,0,38,1
6639,16069,1,0,38,1
6640,16069,1,0,38,1
6641,16069,1,0,38,1
6642,16069,1,0,38,1
6643,16069,1,0,38,1
6644,16069,1,0,38,1
6645,16069,1,0,38,1
6646,16069,1,0,38,1
6647,16069,1,0,38,1
6648,16069,1,0,38,1
6649,16069,1,0,38,1
6650,16069,1,0,38,1
6651,16069,1,0,38,1
6652,16069,1,0,38,1
6653,16069,1,0,38,1
6654,16069,1,0,38,1
6655,16069,1,0,38,1
6656,16069,1,0,38,1
6657,16069,1,0,38,1
6658,16069,1,0,38,1
6659,16069,1,0,38,1
6660,16069,1,0,38,1
6661,16069,1,0,38,1
6662,16069,1,0,38,1
6663,16069,1,0,38,1
6664,16069,1,0,38,1
6665,16069,1,0,38,1
6666,16069,1,0,38,1
6667,16069,1,0,38,1
6668,16069,1,0,38,1
6669,16069,1,0,38,1
6670,16069,1,0,38,1
6671,16069,1,0,38,1
6672,16069,1,0,38,1
6673,16069,1,0,38,1
6674,16069,1,0,38,1
6675,16069,1,0,38,1
6676,16069,1,0,38,1
6677,16069,1,0,38,1
6678,16069,1,0,38,1
6679,16069,1,0,38,1
6680,16069,1,0,38,1
6681,16069,1,0,38,1
6682,16069,1,0,38,1
6683,16069,1,0,38,1
6684,16069,1,0,38,1
6685,16069,1,0,38,1
6686,16069,1,0,38,1
6687,16069,1,0,38,1
6688,16069,1,0,38,1
6689,16069,1,0,38,1
6690,16069,1,0,38,1
6691,16069,1,0,38,1
6692,16069,1,0,38,1
6693,16069,1,0,38,1
6694,16069,1,0,38,1
6695,16069,1,0,38,1
6696,16069,1,0,38,1
6697,16069,1,0,38,1
6698,16069,1,0,38,1
6699,16069,1,0,38,1
6700,16069,1,0,38,1
6701,16069,1,0,38,1
6702,16069,0,0,39,1
6703,16069,0,0,39,1
6704,16069,0,0,39,1
6705,16069,0,0,39,1
6706,16069,0,0,39,1
6707,16069,0,0,39,1
6708,16069,0,0,39,1
6709,16069,0,0,39,1
6710,16069,0,0,39,1
6711,16069,0,0,39,1
6712,16069,0,0,39,1
6713,16069,0,0,39,1
6714,16069,0,0,39,1
6715,16069,0,0,39,1
